"ihme.ctry","ihme.ctry2","ihme.iso3","pik.iso3","wcde1.ctry","wcde2.ctry","uncf.wat","uncf.sani","uncf.hw","uncf.ors","uncf.rota","jme.stunt","fert","region"
"Guatemala","Guatemala","GTM","GTM","Guatemala","Guatemala","GTM","GTM","GTM","GTM","GTM","GTM","hifert","LAC"
"Montenegro","Montenegro","MNE","MNE","Montenegro","Montenegro","MNE","MNE","MNE","MNE",NA,"MNE","lofert","ECA"
"Indonesia","Indonesia","IDN","IDN","Indonesia","Indonesia","IDN","IDN","IDN","IDN",NA,"IDN","lofert","EAP"
"Thailand","Thailand","THA","THA","Thailand","Thailand","THA","THA","THA","THA","THA","THA","lofert","EAP"
"Republic of Korea","South Korea","KOR","KOR","Republic of Korea","Republic of Korea","KOR","KOR",NA,NA,NA,"KOR","lofert","EAP"
"Brunei Darussalam","Brunei","BRN","BRN","Brunei Darussalam","Brunei Darussalam","BRN","BRN",NA,NA,NA,"BRN","lofert","EAP"
"Greece","Greece","GRC","GRC","Greece","Greece","GRC","GRC",NA,NA,"GRC","GRC","lofert","ECA"
"Brazil","Brazil","BRA","BRA","Brazil","Brazil","BRA","BRA",NA,NA,"BRA","BRA","lofert","LAC"
"Qatar","Qatar","QAT","QAT","Qatar","Qatar","QAT","QAT",NA,NA,"QAT","QAT","lofert","MENA"
"Azerbaijan","Azerbaijan","AZE","AZE","Azerbaijan","Azerbaijan","AZE","AZE","AZE","AZE",NA,"AZE","lofert","ECA"
"Zambia","Zambia","ZMB","ZMB","Zambia","Zambia","ZMB","ZMB","ZMB","ZMB","ZMB","ZMB","hifert","SSA"
"Netherlands","Netherlands","NLD","NLD","Netherlands","Netherlands","NLD","NLD",NA,NA,NA,"NLD","lofert","ECA"
"Samoa","Samoa","WSM","WSM","Samoa","Samoa","WSM","WSM",NA,"WSM","WSM","WSM","hifert","EAP"
"Syrian Arab Republic","Syria","SYR","SYR","Syrian Arab Republic","Syrian Arab Republic","SYR","SYR","SYR","SYR",NA,"SYR","hifert","MENA"
"Tonga","Tonga","TON","TON","Tonga","Tonga","TON","TON","TON",NA,NA,"TON","hifert","EAP"
"Viet Nam","Vietnam","VNM","VNM","Viet Nam","Viet Nam","VNM","VNM","VNM","VNM",NA,"VNM","lofert","EAP"
"Kazakhstan","Kazakhstan","KAZ","KAZ","Kazakhstan","Kazakhstan","KAZ","KAZ","KAZ","KAZ",NA,"KAZ","lofert","ECA"
"Latvia","Latvia","LVA","LVA","Latvia","Latvia","LVA","LVA",NA,NA,"LVA","LVA","lofert","ECA"
"Belarus","Belarus","BLR","BLR","Belarus","Belarus","BLR","BLR",NA,"BLR",NA,"BLR","lofert","ECA"
"Antigua and Barbuda","Antigua and Barbuda","ATG","ATG","Antigua and Barbuda","Antigua and Barbuda","ATG","ATG",NA,NA,NA,NA,"lofert","LAC"
"Myanmar","Myanmar","MMR","MMR","Myanmar","Myanmar","MMR","MMR","MMR","MMR","MMR","MMR","lofert","EAP"
"Chile","Chile","CHL","CHL","Chile","Chile","CHL","CHL",NA,NA,NA,"CHL","lofert","LAC"
"Grenada","Grenada","GRD","GRD","Grenada","Grenada","GRD","GRD",NA,NA,NA,NA,"lofert","LAC"
