"iso3","wat.unimp","sani.unimp","no.hw","stunt","ors","rotavac"
"AFG",0.1604229,0.28915722,0.60212098292266,0.507606256000001,0.0213754166014807,0.1008
"AGO",0.19484591,0.094291611,0.86777545394703,0.388595801,0.0203677898102815,0.12
"ALB",0.030250897,0.0015350874,0.0793504825411136,0.247925785094384,0.0113304214985163,0.2
"ARE",0.00031537,0.00082506001,0.147174034461196,0.143617514143697,0.0062500364364717,0.0268
"ARG",0.00408154546008947,0.0126005279911078,0.0824347150799515,0.0774250511702516,0.012905903430134,0.0554
"ARM",0.00031267792,0.057115731,0.130534477068815,0.119526588570589,0.0118850150113956,0.0162
"ATG",0.0316634750002753,0.080570059000821,0.246094469848847,0.0782646152381403,0.00538702341822312,0.2
"AUS",0.00030144369,8.8476175e-05,0.0582847091681282,0.0300015758437832,0.00206225966409572,0.2
"AUT",2.7262722e-08,0.00027289432,0.0364114472600121,0.00955050279098169,0.00442432578195989,0.2
"AZE",0.033278561,0.010973257,0.133049535482227,0.14908891406773,0.0171195975734869,0.2
"BDI",0.14811611,0.39164185,0.922152674448826,0.527168445999998,0.0269254600598658,0.00860000000000001
"BEL",2.6446585e-09,1.3318227e-06,0.0353748990117914,0.0091959988064601,0.0050753006041123,0.2
"BEN",0.21832605,0.11626586,0.927558252271779,0.411875002999999,0.0190503511123722,0.2
"BFA",0.21419958,0.062934995,0.883465461352944,0.328560969,0.0255302565361758,0.0154
"BGD",0.005118925,0.23979246,0.699824095649526,0.402600746999998,0.00309814217366375,0.2
"BGR",0.0095303768,4.1532895e-06,0.0463152762592911,0.104775212031527,0.0107817929638101,0.1206
"BHR",0,0,0.148706146877963,0.0452693404287118,0.00613896634834011,0.0114
"BHS",0.011130395,0.015291588,0.211027639835363,0.0801705155816161,0.00513166990182094,0.0436
"BIH",0.00061936587,0.0399550273257917,0.0424955695771055,0.0962676445941665,0.0127556948090587,0.2
"BLR",0.0011843214,0.0047514293,0.0717352836623665,0.0371998944886297,0.00868890125172717,0.2
"BLZ",0.0034996265,0.021738784,0.325029575032158,0.165662983000001,0.0128039126598775,0.2
"BOL",0.018235689,0.075723791,0.268821465031486,0.218452140000001,0.0240592086068805,0.0274
"BRA",0.0070379782,0.1004114,0.244133269003138,0.097892278484818,0.0145475701817682,0.0502
"BRB",0.01217949,0,0.239429514782002,0.0691274864359497,0.00606646093441052,0.2
"BRN",0.00099965394,0.0105095800008455,0.0596801894112667,0.134778199623288,0.000344409270185961,0.2
"BTN",0.0017697749,0.1491975,0.1881594463043,0.295225684,0.00537709055518249,0.2
"BWA",0.017311696,0.045975733,0.574170031878568,0.300455162000001,0.0137548917426165,0.0526
"CAF",0.33250778,0.45065979,0.874092928924268,0.402222020999999,0.0323727823958578,0.2
"CAN",0.0077835017,0.0096731883,0.0353671574194119,0.0194954905642712,0.00393375007237299,0.2
"CHE",0,0,0.0354969124726561,0.00900847423806795,0.00431102047173689,0.2
"CHL",3.8646081e-08,3.8646081e-08,0.0709618334558698,0.0314103003733554,0.00403279738606999,0.2
"CHN",0.051692319,0.060875983,0.133021542655962,0.116730628609778,0.00835450773847455,0.2
"CIV",0.14242757,0.18030794,0.83150333688663,0.311787584,0.0295456992518087,0.07
"CMR",0.15526389,0.34807919,0.870033288000005,0.330679901,0.0341351545981041,0.0568
"COD",0.32903954,0.52035164,0.94978681782027,0.38589565,0.0257108560750779,0.2
"COG",0.096589832,0.37029263,0.818306991451275,0.220828381,0.0283797778076375,0.0716
"COL",0.010504082,0.0054223168,0.222202513534823,0.1207234,0.00947680308299006,0.0208
"COM",0.089290905,0.50898991,0.791786918892453,0.336615973999999,0.0233270535538317,0.2
"CPV",0.033081322,0,0.624547438918928,0.124044302,0.0116267039299628,0.2
"CRI",1.2092009e-08,0.01282197,0.215615931735928,0.068211289,0.00976409295676946,0.0786
"CUB",0.014002302,0.065609612,0.201745271500674,0.06450744,0.0101426645621016,0.2
"CYP",0.0023480752,0.0060418391,0.0364170492966969,0.0107733268554059,0.00503740923898989,0.2
"CZE",0.0011952968,9.8014325e-05,0.0377144260680113,0.0257647678209841,0.00437240053787992,0.2
"DEU",0,0,0.0317405885293788,0.00722795681703049,0.0048474974875278,0.0416
"DJI",0.070605416,0.10045753,0.773743985530551,0.319505538000001,0.00554021589753926,0.0868
"DNK",0,0,0.0345222703907866,0.00988388840418322,0.00506404992119907,0.2
"DOM",0.013171965,0.01530715,0.623263213280884,0.0961980150000004,0.0191937796578588,0.0624
"DZA",0.0068419158,0.034852595,0.155514524244171,0.149908023999999,0.02035011342645,0.2
"ECU",0.026255531,0.004249222,0.253535532611226,0.236083911,0.0113198293088992,0.0398
"EGY",0.0037920934,0.011402478,0.129440107422053,0.194043974,0.0218475028641686,0.2
"ERI",0.131445405785218,0.116619119045538,0.875245098903936,0.440511890000002,0.0174451412109563,0.0176
"ESP",0.00074161857,0.00015712889,0.0360514957152388,0.0110065480561998,0.00443637635233218,0.2
"EST",0.0040921822,0.0015833677,0.0629285243738366,0.0794457981637603,0.00501027914680861,0.027
"ETH",0.19789745,0.63026123,0.957005364575564,0.410278835637481,0.021230181553499,0.0894
"FIN",0,8.0926671e-07,0.035114564948455,0.0101461052583258,0.00439850500330622,0.2
"FJI",0.033398006,0,0.105805535539199,0.060032015281061,0.0140891842275712,0.00640000000000001
"FRA",0,0,0.0362801898329725,0.0095456857746039,0.0039890833083326,0.2
"FSM",0.11691843,0.11690668,0.165426644209813,0.16239682563941,0.0144361401322252,0.1056
"GAB",0.039640944,0.19355488,0.637215847526449,0.181027801,0.0188445979655886,0.2
"GBR",2.8922261e-08,0.0017272039,0.0368163850268386,0.00977871143500566,0.00428154636110514,0.0172
"GEO",0.027521272,0.12991656,0.103647471423719,0.114719860113009,0.00956135549079526,0.0464
"GHA",0.031361883,0.11497725,0.927109436715227,0.218611271000001,0.0164365879176592,0.014
"GIN",0.068649278,0.31358641,0.909154902747547,0.337921467999999,0.0133982721161325,0.2
"GMB",0.1059337,0.38522453,0.914929078747709,0.221889820000001,0.0174102270731853,0.0186
